method,loss_kind,lr,probe_steps,initial_loss,final_loss,loss_ratio,finite
D-SINOS,dsinos,0.002,8,173.02125023893177,105.6579051708942,0.6106643260581408,True
D-SINOS,dsinos,0.003,8,173.02125023893177,107.98210947879603,0.6240973830074591,True
D-SINOS,dsinos,0.005,8,173.02125023893177,97.50180767339774,0.5635250441131,True
MSE,mse,1e-05,8,1251.7910732863381,1251.7428648230307,0.9999614884110166,True
MSE,mse,3e-05,8,1251.7910732863381,1251.6481252650592,0.99988580520797,True
MSE,mse,0.0001,8,1251.7910732863381,1251.3314788944322,0.9996328505597188,True
MSE,mse,0.0002,8,1251.7910732863381,1250.904958521893,0.9992921224768612,True
MSE,mse,0.0003,8,1251.7910732863381,1250.4849096370633,0.9989565641766036,True
MSE,mse,0.0005,8,1251.7910732863381,1249.5795950848953,0.9982333488002618,True
MSE,mse,0.0007,8,1251.7910732863381,1248.4911927973544,0.9973638728064097,True
MSE,mse,0.001,8,1251.7910732863381,1246.3919726168974,0.9956868995276772,True
MSE,mse,0.002,8,1251.7910732863381,1237.5404056814973,0.9886157778970028,True
MSE,mse,0.003,8,1251.7910732863381,1232.1935752878421,0.9843444338143054,True
MSE,mse,0.005,8,1251.7910732863381,1210.5770895495618,0.9670759884646111,True
ID,mse,1e-05,8,1251.7910732863381,1251.7428648230307,0.9999614884110166,True
ID,mse,3e-05,8,1251.7910732863381,1251.6481252650592,0.99988580520797,True
ID,mse,0.0001,8,1251.7910732863381,1251.3314788944322,0.9996328505597188,True
ID,mse,0.0002,8,1251.7910732863381,1250.904958521893,0.9992921224768612,True
ID,mse,0.0003,8,1251.7910732863381,1250.4849096370633,0.9989565641766036,True
ID,mse,0.0005,8,1251.7910732863381,1249.5795950848953,0.9982333488002618,True
ID,mse,0.0007,8,1251.7910732863381,1248.4911927973544,0.9973638728064097,True
ID,mse,0.001,8,1251.7910732863381,1246.3919726168974,0.9956868995276772,True
ID,mse,0.002,8,1251.7910732863381,1237.5404056814973,0.9886157778970028,True
ID,mse,0.003,8,1251.7910732863381,1232.1935752878421,0.9843444338143054,True
ID,mse,0.005,8,1251.7910732863381,1210.5770895495618,0.9670759884646111,True
GradNorm,mse,1e-05,8,1251.7910732863381,1251.7428648230307,0.9999614884110166,True
GradNorm,mse,3e-05,8,1251.7910732863381,1251.6481252650592,0.99988580520797,True
GradNorm,mse,0.0001,8,1251.7910732863381,1251.3314788944322,0.9996328505597188,True
GradNorm,mse,0.0002,8,1251.7910732863381,1250.904958521893,0.9992921224768612,True
GradNorm,mse,0.0003,8,1251.7910732863381,1250.4849096370633,0.9989565641766036,True
GradNorm,mse,0.0005,8,1251.7910732863381,1249.5795950848953,0.9982333488002618,True
GradNorm,mse,0.0007,8,1251.7910732863381,1248.4911927973544,0.9973638728064097,True
GradNorm,mse,0.001,8,1251.7910732863381,1246.3919726168974,0.9956868995276772,True
GradNorm,mse,0.002,8,1251.7910732863381,1237.5404056814973,0.9886157778970028,True
GradNorm,mse,0.003,8,1251.7910732863381,1232.1935752878421,0.9843444338143054,True
GradNorm,mse,0.005,8,1251.7910732863381,1210.5770895495618,0.9670759884646111,True
NTK,mse,1e-05,8,1251.7910732863381,1251.7428648230307,0.9999614884110166,True
NTK,mse,3e-05,8,1251.7910732863381,1251.6481252650592,0.99988580520797,True
NTK,mse,0.0001,8,1251.7910732863381,1251.3314788944322,0.9996328505597188,True
NTK,mse,0.0002,8,1251.7910732863381,1250.904958521893,0.9992921224768612,True
NTK,mse,0.0003,8,1251.7910732863381,1250.4849096370633,0.9989565641766036,True
NTK,mse,0.0005,8,1251.7910732863381,1249.5795950848953,0.9982333488002618,True
NTK,mse,0.0007,8,1251.7910732863381,1248.4911927973544,0.9973638728064097,True
NTK,mse,0.001,8,1251.7910732863381,1246.3919726168974,0.9956868995276772,True
