degree,N,MSE C0,MSE C1,MSE ratio,L2 C0,L2 C1,L2 ratio,SINOS C0,SINOS C1,SINOS ratio,D-SINOS C0,D-SINOS C1,D-SINOS ratio,MSE-L2 ratio,MSE-Half ratio,L2-MSE ratio,L2-Half ratio,SINOS-MSE ratio,SINOS-L2 ratio,D-SINOS-MSE ratio,D-SINOS-L2 ratio
30,961,0.0033972598931386504,2325531.4609244172,684531514.83088684,0.010946746914774791,132549.69218279459,12108592.005894708,0.65611355834359097,1079.160344375214,1644.7767778182135,0.6552500946237878,11.560245567803859,17.642493549644094,215295169.4492912,4839191.3222504407,38670028.995724566,72698.488271343202,358985.49320762779,151815.22918064738,316.34018221101093,315.64520334136449
31,1024,0.0032565608134126622,2807484.2843012423,862100984.79910862,0.010328582790238704,150472.68143720974,14568570.005501419,0.65611410639353807,1079.1626873629223,1644.7789749480544,0.65525064282563394,11.584484116250666,17.679470051788055,276446972.61413211,5847739.9306656653,45626398.037619203,82527.792497924122,372551.17881693639,161164.24128424266,328.2039785633894,334.72623352913132
32,1089,0.0031307162637175699,3369843.7684360598,1076381084.8941443,0.0097837249961190698,170150.27046716111,17391154.241830692,0.65601147641478885,1225.4937556417506,1868.098043557525,0.65525115706902914,11.606841856946547,17.713577048630519,351845807.09796345,7025465.6727913255,53421202.490874752,93319.28074025274,438441.09276966227,193925.73083071533,339.95752384181674,354.2849137840455
33,1156,0.0030188824976211028,4022987.0272459127,1332608019.8272209,0.0092996348642997509,191693.03379296555,20612963.47546434,0.65601195963490722,1225.4958009302973,1868.099785272706,0.65525164041589889,11.628890606753872,17.747213268131347,443902440.0420149,8394318.1558996718,62578610.699243516,105133.59490723499,453777.01168788358,205121.72125688952,351.61542294688883,374.33178699504379
34,1225,0.0029199292253248728,4778263.2491571819,1636431187.3434362,0.0088630173153993359,215214.90753934492,24282352.147209823,0.65592671194274321,1381.117926239471,2105.5979289955044,0.65525209556957553,11.649312781977855,17.778367838490819,555290222.36373448,9978312.4528497718,72989892.133301377,118033.19638615061,528644.06483398331,244110.6991000578,363.2018055341041,394.87823349111358
35,1296,0.0028284119526052962,5648052.4742335742,1996898814.2024579,0.0084613871862683401,240833.18858073826,28462612.959205694,0.65592714117385531,1381.1197265938529,2105.5992958641473,0.65525252492559671,11.669482170882359,17.809137282160673,689049307.04882896,11803656.458876481,84674978.036353841,132082.41557731762,545843.5020643333,257371.94594712305,374.75014827540826,415.93585840657283
36,1369,0.0027297786693269714,6645826.1148788519,2434565919.0447788,0.0080847404822150595,268668.53480131243,33231559.552509289,0.65585556268077427,1546.0328724309277,2357.2764498811316,0.65525293061658818,11.688232462558236,17.837741605458667,848769926.12107635,13898876.588829,97709033.690790534,147347.41865165153,630227.25428681204,303305.67712260288,386.69610505329985,437.51597817160444
37,1444,0.0026390044274696204,7786209.1780335801,2950434299.0054393,0.0077264872426295508,298844.96439300635,38677985.86972113,0.6558559465073468,1546.0344689361591,2357.2775045637873,0.65525331454619828,11.706774773905865,17.866029082223719,1038821306.4063263,16294958.779434096,112161420.31786041,163896.22246587675,649386.42825162492,318862.11613066948,398.86346251523497,460.33885933600794
38,1521,0.0025557644357439803,9085044.2286650706,3554726758.6969237,0.0073832980871118836,331489.85605344473,44897260.295109287,0.65579526496421425,1720.2386086261581,2623.1336219239533,0.65525367841993731,11.724069308361544,17.892412808170231,1264554664.3624773,19025473.837881245,128106613.01476875,181798.59042448038,743827.22223703761,372493.71432093193,411.19215000993808,483.79752813089704
39,1600,0.0024797248659767768,10559457.056672255,4258318010.0155296,0.0070541937223742128,366733.94840434537,51988074.447282776,0.65579561024685729,1720.2400337362803,2623.1344139201246,0.65525402377058806,11.741191944540573,17.918534672976381,1532417812.1237805,22126730.550034262,145652728.36418548,201126.26519756962,765047.86140449787,390587.2529689626,423.39136654626026,507.7856333957223
